portfolio,period,weighted_average_interest_rate_pct,status,source
Domestic debt,FY 2024/25,13.0,provisional,"National Treasury, Annual Public Debt Management Report FY 2024/25, Section 9.3 and Figure 17, p. 68"
Total public debt,FY 2024/25,8.7,provisional,"National Treasury, Annual Public Debt Management Report FY 2024/25, Section 9.3 and Figure 17, p. 68"
External debt,FY 2024/25,3.9,provisional,"National Treasury, Annual Public Debt Management Report FY 2024/25, Section 9.3 and Figure 17, p. 68"
