component,period,value_ksh_billion,share_of_domestic_interest_pct,status,source
Treasury bonds,FY 2024/25,677.762,87.31,provisional,"National Treasury, Annual Public Debt Management Report FY 2024/25, Table 9, p. 44"
Treasury bills,FY 2024/25,87.560,11.28,provisional,"National Treasury, Annual Public Debt Management Report FY 2024/25, Table 9, p. 44"
Central Bank commission,FY 2024/25,3.000,0.39,provisional,"National Treasury, Annual Public Debt Management Report FY 2024/25, Table 9, p. 44"
Pre-1997 debt interest,FY 2024/25,0.491,0.06,provisional,"National Treasury, Annual Public Debt Management Report FY 2024/25, Table 9, p. 44"
Other and overdraft charges,FY 2024/25,7.444,0.96,provisional,"National Treasury, Annual Public Debt Management Report FY 2024/25, Table 9, p. 44"
Total domestic interest and charges,FY 2024/25,776.257,100.00,provisional,"National Treasury, Annual Public Debt Management Report FY 2024/25, Table 9, p. 44"
